START,eof struct impl func,∅
ARRAYSIZE2,intlit rsqbr,semi lsqbr rpar comma
EXPR2,eq neq lt gt leq geq,semi comma rpar
FACTOR2,lpar lsqbr,semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar
FUNCBODY,lcurbr,struct impl func rcurbr eof
FUNCHEAD,func,semi lcurbr
FPARAMS,id,rpar
IDNEST2,lpar lsqbr,semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar
FUNCDECL,func,rcurbr public private
PROG,struct impl func,eof
ARITHEXPR,id intlit floatlit lpar not plus minus,semi rsqbr eq neq lt gt leq geq comma rpar
RELOP,eq neq lt gt leq geq,id intlit floatlit lpar not plus minus
APARAMSTAIL,comma,comma rpar
REPTAPARAMS1,comma,rpar
REPTFPARAMS3,lsqbr,rpar comma
FPARAMSTAIL,comma,comma rpar
REPTFPARAMS4,comma,rpar
REPTFPARAMSTAIL4,lsqbr,comma rpar
REPTFUNCBODY1,let id if while read write return,rcurbr
REPTIMPLDEF3,func,rcurbr
REPTOPTSTRUCTDECL22,comma,lcurbr
REPTPROG0,struct impl func,eof
MEMBERDECL,let func,rcurbr public private
ARRAYSIZE,lsqbr,semi lsqbr rpar comma
IDNEST,dot,semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar
REPTVARORFUNCCALL,dot,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar
RETURNTYPE,void integer float id,semi lcurbr
ADDOP,plus minus or,id intlit floatlit lpar not plus minus
RIGHTRECARITHEXPR,plus minus or,semi rsqbr eq neq lt gt leq geq comma rpar
MULTOP,mult div and,id intlit floatlit lpar not plus minus
SIGN,plus minus,id intlit floatlit lpar not plus minus
REPTSTATBLOCK1,id if while read write return,rcurbr
RELEXPR,id intlit floatlit lpar not plus minus,rpar
STATBLOCK,lcurbr id if while read write return,else semi
INDICE,lsqbr,semi mult div and lsqbr equal dot rsqbr eq neq lt gt leq geq plus minus or comma rpar
STATEMENTIDNEST2,dot,semi
STATEMENTIDNEST3,dot equal,semi
ASSIGNOP,equal,id intlit floatlit lpar not plus minus
EXPR,id intlit floatlit lpar not plus minus,semi comma rpar
STATEMENTIDNEST,dot lpar lsqbr equal,semi
OPTSTRUCTDECL2,inherits,lcurbr
REPTSTRUCTDECL4,public private,rcurbr
STRUCTORIMPLORFUNC,struct impl func,struct impl func eof
STRUCTDECL,struct,struct impl func eof
IMPLDEF,impl,struct impl func eof
FUNCDEF,func,struct impl func rcurbr eof
TERM,id intlit floatlit lpar not plus minus,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar
FACTOR,id intlit floatlit lpar not plus minus,semi mult div and rsqbr eq neq lt gt leq geq plus minus or comma rpar
RIGHTRECTERM,mult div and,semi rsqbr eq neq lt gt leq geq plus minus or comma rpar
TYPE,integer float id,rpar lcurbr comma lsqbr semi
REPTVARDECL4,lsqbr,semi
VARDECLORSTAT,let id if while read write return,let id if while read write return rcurbr
VARDECL,let,public private let id if while read write return rcurbr
STATEMENT,id if while read write return,else semi let id if while read write return rcurbr
VARIABLE,id,rpar
VARIABLE2,lpar lsqbr dot,rpar
REPTVARIABLE,dot,rpar
VARIDNEST2,lpar lsqbr,rpar dot
APARAMS,id intlit floatlit lpar not plus minus,rpar
VARIDNEST,dot,rpar dot
REPTIDNEST1,lsqbr,equal semi mult div and dot rsqbr eq neq lt gt leq geq plus minus or comma rpar
VISIBILITY,public private,let func
