,$,private,public,semi,colon,id,let,float,integer,rcurbr,lcurbr,struct,rpar,lpar,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,dot,arrow,func,not,equal,or
START,START → PROG,,,,,,,,,,,START → PROG,,,,,,,,,,,,,,,,,,,,,,,,,,START → PROG,,,START → PROG,,,
ADDOP,,,,,,,,,,,,,,,,,,,,,,ADDOP → minus,ADDOP → plus,,,,,,,,,,,,,,,,,,,,,ADDOP → or
APARAMS,,,,,,APARAMS → EXPR REPTAPARAMS1,,,APARAMS → EXPR REPTAPARAMS1,,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,,ARITHEXPR → TERM ARITHEXPR1,,,ARITHEXPR → TERM ARITHEXPR1,,,,,ARITHEXPR → TERM ARITHEXPR1,,,,,,,,ARITHEXPR → TERM ARITHEXPR1,ARITHEXPR → TERM ARITHEXPR1,,,,,,,,,,,,,,,,,,,ARITHEXPR → TERM ARITHEXPR1,,
ARITHEXPR1,,,,ARITHEXPR1 → RIGHTRECARITHEXPR,,,,,,,,,ARITHEXPR1 → RIGHTRECARITHEXPR,,,,,,,,,ARITHEXPR1 → RIGHTRECARITHEXPR,ARITHEXPR1 → RIGHTRECARITHEXPR,,ARITHEXPR1 → RIGHTRECARITHEXPR,ARITHEXPR1 → RELEXPR,ARITHEXPR1 → RELEXPR,ARITHEXPR1 → RELEXPR,ARITHEXPR1 → RELEXPR,ARITHEXPR1 → RELEXPR,ARITHEXPR1 → RELEXPR,,,,,ARITHEXPR1 → RIGHTRECARITHEXPR,,,,,,,,ARITHEXPR1 → RIGHTRECARITHEXPR
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYOPTION,,,,,,,
ARRAYOPTION,,,,,,,,,ARRAYOPTION → INTLIT rsqbr,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYOPTION → rsqbr,,,,,,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal,
ASSIGNSTAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNSTAT → VARIABLE ASSIGNOP EXPR,,,,,,ASSIGNSTAT → VARIABLE ASSIGNOP EXPR,
EXPR,,,,,,EXPR → ARITHEXPR,,,EXPR → ARITHEXPR,,,,,EXPR → ARITHEXPR,,,,,,,,EXPR → ARITHEXPR,EXPR → ARITHEXPR,,,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR,,
FACTOR,,,,,,FACTOR → id IDFACTOR,,,FACTOR → INTLIT,,,,,FACTOR → lpar ARITHEXPR rpar,,,,,,,,FACTOR → SIGN FACTOR,FACTOR → SIGN FACTOR,,,,,,,,,,,,,,,,,,,FACTOR → not FACTOR,,
FPARAMS,,,,,,FPARAMS → id colon TYPE REPTFPARAMS3 REPTFPARAMS4,,,,,,,FPARAMS → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,FUNCBODY → lcurbr REPTFUNCBODY1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDECL → FUNCHEAD semi,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → func id lpar FPARAMS rpar arrow RETURNTYPE,,,
FUNCTIONCALL,,,,,,,,,,,,,,FUNCTIONCALL → lpar APARAMS rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFACTOR,,,,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,,,,,,,,,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,,,,,,,,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1,,,,,IDFACTOR → REPTFUNCTIONCALLORVARIABLE IDFACTOR1
IDFACTOR1,,,,IDFACTOR1 → VARIABLE,,,,,,,,,IDFACTOR1 → VARIABLE,IDFACTOR1 → FUNCTIONCALL,,,,,,,,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,IDFACTOR1 → VARIABLE,,,,,,,IDFACTOR1 → VARIABLE
IDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDNEST → dot id IDNEST1,,,,,
IDNEST1,,,,,,,,,,,,,,IDNEST1 → lpar APARAMS rpar dot,,,,,,,,,,,,,,,,,,,,,,,IDNEST1 → REPTIDNEST1 dot,,IDNEST1 → REPTIDNEST1 dot,,,,,
IMPLDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLDEF → impl id lcurbr REPTIMPLDEF3 rcurbr,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,
INTLIT,,,,,,,,,INTLIT → integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMBERDECL,,,,,,,MEMBERDECL → VARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → FUNCDECL,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and,MULTOP → div,MULTOP → mult,,,,,,,,,
OPTSTRUCTDECL2,,,,,,,,,,,OPTSTRUCTDECL2 → &epsilon,,,,,,,,,,,,,,,,,,,,,OPTSTRUCTDECL2 → inherits id REPTOPTSTRUCTDECL22,,,,,,,,,,,,
